,name,avgMSE
39,hdn20_k5_lr0.01_reg0.001_mo0.5,2.8795801403863197
33,hdn20_k5_lr0.005_reg0.001_mo0,2.9285882491035897
27,hdn40_k5_lr0.01_reg0.001_mo0,2.9761102724989503
25,hdn40_k5_lr0.005_reg0.001_mo0,3.01197295045086
35,hdn20_k5_lr0.01_reg0.001_mo0,3.01752650544891
11,hdn80_k5_lr0.01_reg0.001_mo0,3.04009924824029
1,hdn100_k5_lr0.005_reg0.001_mo0,3.0491967307715697
19,hdn60_k5_lr0.01_reg0.001_mo0,3.0695112059340603
37,hdn20_k5_lr0.005_reg0.001_mo0.5,3.0779741669089002
17,hdn60_k5_lr0.005_reg0.001_mo0,3.08870782020398
9,hdn80_k5_lr0.005_reg0.001_mo0,3.15554407169696
29,hdn40_k5_lr0.005_reg0.001_mo0.5,3.25141826673454
31,hdn40_k5_lr0.01_reg0.001_mo0.5,3.26703804329278
5,hdn100_k5_lr0.005_reg0.001_mo0.5,3.28924552124562
3,hdn100_k5_lr0.01_reg0.001_mo0,3.29239697414038
21,hdn60_k5_lr0.005_reg0.001_mo0.5,3.2927898728456495
13,hdn80_k5_lr0.005_reg0.001_mo0.5,3.38074430094548
7,hdn100_k5_lr0.01_reg0.001_mo0.5,3.39774536867417
15,hdn80_k5_lr0.01_reg0.001_mo0.5,3.5000048819258303
23,hdn60_k5_lr0.01_reg0.001_mo0.5,3.5897234021197795
